¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ Alemannen, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Das Haus der Julier
{EMT_YOUR_FORCES_ATTACKED_NAVY_MOORS}					Eure Streitmächte werden von einem Flottenverband der Mauren angegriffen


{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_JULII}					Eure Streitmächte werden von einer Armee der Julier in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_BRUTII}					Eure Streitmächte werden von einer Armee der Bruti in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_SCIPII}					Eure Streitmächte werden von einer Armee der Scipionen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_SENATE}					Eure Streitmächte werden von einer Armee des Senats in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MACEDON}					Eure Streitmächte werden von einer Armee der Makedonier in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EGYPT}					Eure Streitmächte werden von einer Armee der Ägypter in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SELEUCID}					Eure Streitmächte werden von einer Armee der Seleukiden in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_CARTHAGE}					Eure Streitmächte werden von einer Armee der Karthager in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_PARTHIA}					Eure Streitmächte werden von einer Armee der Parther in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_PONTUS}					Eure Streitmächte werden von einer Armee der Pontier in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GAULS}					Eure Streitmächte werden von einer Armee der Gallier in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GERMANS}					Eure Streitmächte werden von einer Armee der Germanen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BRITONS}					Eure Streitmächte werden von einer Armee der Britannier in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ARMENIA}					Eure Streitmächte werden von einer Armee der Armenier in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_DACIA}					Eure Streitmächte werden von einer Armee der Dakier in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GREEK_CITIES}					Eure Streitmächte werden von einer Armee der griechischen Städte in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_NUMIDIA}					Eure Streitmächte werden von einer Armee der Numidier in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SCYTHIA}					Eure Streitmächte werden von einer Armee der Skythen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SPAIN}					Eure Streitmächte werden von einer Armee der Spanier in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_THRACE}					Eure Streitmächte werden von einer Armee der Thraker in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ALEMANNI}				Eure Streitmächte werden von einer Armee der Alemannen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_EAST}				Eure Streitmächte werden von einer Armee der Römer (Östliches Reich) in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_WEST}				Eure Streitmächte werden von einer Armee der Römer (Westliches Reich) in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_EAST_REBELS}				Eure Streitmächte werden von einer Armee der Römer (Östliches Reich-Rebellen) in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_WEST_REBELS}				Eure Streitmächte werden von einer Armee der Römer (Westliches Reich-Rebellen) in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_FRANKS}					Eure Streitmächte werden von einer Armee der Franken in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_HUNS}				Eure Streitmächte werden von einer Armee der Hunnen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SARMATIANS}				Eure Streitmächte werden von einer Armee der Sarmaten in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SASSANIDS}				Eure Streitmächte werden von einer Armee der Sassaniden in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SAXONS}					Eure Streitmächte werden von einer Armee der Sachsen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_VANDALS}					Eure Streitmächte werden von einer Armee der Wandalen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GOTHS}				Eure Streitmächte werden von einer Armee der Gothen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_WHITE_HUNS}				Eure Streitmächte werden von einer Armee der Weißen Hunnen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_OSTROGOTHS}				Eure Streitmächte werden von einer Armee der Ostgothen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANO_BRITISH}			Eure Streitmächte werden von einer Armee der Romano-Briten in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SLAVS}					Eure Streitmächte werden von einer Armee der Slawen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SLAVE}					Eure Streitmächte werden von einer Armee der Rebellen in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_CELTS}					Eure Streitmächte werden von einer Armee der Kelten in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BERBERS}					Eure Streitmächte werden von einer Armee der Berber in einen Hinterhalt gelockt
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MOORS}					Eure Streitmächte werden von einer Armee der Mauren in einen Hinterhalt gelockt


{EMT_VICTORY_ROMANS_JULII}		Das Haus der Julier hat gewonnen
{EMT_VICTORY_ROMANS_BRUTII}		Das Haus der Bruti hat gewonnen
{EMT_VICTORY_ROMANS_SCIPII}		Das Haus der Scipionen hat gewonnen
{EMT_VICTORY_ROMANS_SENATE}		Der Senat und das Volk von Rom haben gewonnen
{EMT_VICTORY_MACEDON}		Die Makedonier haben gewonnen
{EMT_VICTORY_EGYPT}		Die Ägypter haben gewonnen
{EMT_VICTORY_SELEUCID}		Die Seleukiden haben gewonnen
{EMT_VICTORY_CARTHAGE}		Die Karthager haben gewonnen
{EMT_VICTORY_PARTHIA}		Die Parther haben gewonnen
{EMT_VICTORY_PONTUS}		Die Pontier haben gewonnen
{EMT_VICTORY_GAULS}		Die Gallier haben gewonnen
{EMT_VICTORY_GERMANS}		Die Germanen haben gewonnen
{EMT_VICTORY_BRITONS}		Die Britannier haben gewonnen
{EMT_VICTORY_ARMENIA}		Die Armenier haben gewonnen
{EMT_VICTORY_DACIA}		Die Dakier haben gewonnen
{EMT_VICTORY_GREEK_CITIES}		Die Griechen haben gewonnen
{EMT_VICTORY_NUMIDIA}		Die Numider haben gewonnen
{EMT_VICTORY_SCYTHIA}		Die Skythen haben gewonnen
{EMT_VICTORY_SPAIN}		Die Spanier haben gewonnen
{EMT_VICTORY_THRACE}		Die Thraker haben gewonnen
{EMT_VICTORY_ALEMANNI}			Die Alemannen haben gewonnen
{EMT_VICTORY_EMPIRE_EAST}		Die Römer (Östliches Reich) haben gewonnen
{EMT_VICTORY_EMPIRE_WEST}		Die Römer (Westliches Reich) haben gewonnen
{EMT_VICTORY_EMPIRE_EAST_REBELS}	Die Römer (Östliches Reich-Rebellen) haben gewonnen
{EMT_VICTORY_EMPIRE_WEST_REBELS}	Die Römer (Westliches Reich-Rebellen) haben gewonnen
{EMT_VICTORY_FRANKS}			Die Franken haben gewonnen
{EMT_VICTORY_HUNS}			Die Hunnen haben gewonnen
{EMT_VICTORY_SARMATIANS}		Die Sarmaten haben gewonnen
{EMT_VICTORY_SASSANIDS}		Die Sassaniden haben gewonnen
{EMT_VICTORY_SAXONS}			Die Sachsen haben gewonnen
{EMT_VICTORY_VANDALS}			Die Wandalen haben gewonnen
{EMT_VICTORY_GOTHS}			Die Gothen haben gewonnen
{EMT_VICTORY_WHITE_HUNS}		Die Weißen Hunnen haben gewonnen
{EMT_VICTORY_OSTROGOTHS}		Die Ostgothen haben gewonnen
{EMT_VICTORY_ROMANO_BRITISH}		Die Romano-Briten haben gewonnen
{EMT_VICTORY_SLAVS}			Die Slawen haben gewonnen
{EMT_VICTORY_SLAVE}		Die Rebellen haben gewonnen
{EMT_VICTORY_BERBERS}			Die Berber haben gewonnen
{EMT_VICTORY_MOORS}			Die Mauren haben gewonnen
{EMT_VICTORY_CELTS}			Die Kelten haben gewonnen

{EMT_VICTORY_DESCR_ROMANS_BRUTII}	Rom steht nun sicher unter der Herrschaft der Bruti! Was versprochen wurde, wurde unter Eurer starken Führung gehalten. Die Faust eines Bruti hält nun die Rute in der Hand, die der Welt das Gesetz bringen wird! Dafür haben die Bruti seit Jahren gekämpft, und nun haben sie gesiegt!
{EMT_VICTORY_DESCR_ROMANS_JULII}		Dieser Moment ist zu genießen! Rom und das Reich - ja sogar die Welt - liegen Euch zu Füßen und das römische Volk liebt Euch! Sorgt Euch nicht länger um die alten Weiber im Senat. Eure Feinde sind schwach, verwirrt und vernichtend geschlagen. Dies ist Euer Sieg. Erfreut Euch an der Macht, die Ihr verdient habt!
{EMT_VICTORY_DESCR_ROMANS_SCIPII}	Das großartige Geschlecht der Scipionen wurde von den Göttern und Eurer inspirierten Führung gesegnet! Der Geschmack des Sieges ist ein guter. Alle Römer können nun ruhig schlafen, wohl wissend, dass wir das Reich beherrschen und sie vor allen Feinden beschützen. Die Armee der Römer - der Scipionen - kontrolliert jetzt ein Reich, das sich über die Welt erstreckt! Der Sieg gehört Euch!
{EMT_VICTORY_DESCR_BRITONS}		Ihr habt gesiegt! Die römische Welt ist vergangen und nun sind es unsere Krieger, die die Länder zwischen Sonnenauf- und Untergang beherrschen. Auf der ganzen Welt stimmen die Druiden Lobgesänge auf die alten Götter an! Kostet diesen Moment aus, erhebt Euren Siegeskelch und trinkt einen großen Schluck daraus!
{EMT_VICTORY_DESCR_CARTHAGE}		Die Welt gehört Euch, ebenso der Sieg! Keine andere Macht kann die Größe bedrohen, die Karthago unter Eurer inspirierten und gewinnbringenden Führung erreicht hat! Dieser Tag ist ein Tag zum Feiern, um sich die Welt so vorzustellen, wie sie unter der karthagischen Herrschaft werden wird!
{EMT_VICTORY_DESCR_EGYPT}		Der Sieg ist Euer! Eure Feinde sind im Schatten verschwunden oder vom Wüstenwind davongetragen worden. Die Pharaonen der Zukunft werden Euren Namen annehmen, um zu würdigen, wie Ihr die Ägypter zu solchem Ruhm führtet!
{EMT_VICTORY_DESCR_GAULS}		Der gallische Mut und Eure führende Hand haben den Sieg herbeigeführt! Feiert Eure Leistungen und blickt auf die Weiten des gallischen Reiches herab - ein Wunder der Welt in all seiner Glorie. Andere Völker können nur verzweifeln und vor Angst erzittern!
{EMT_VICTORY_DESCR_GERMANS}		Ihr habt das tapfere Volk der Germanen aus den dunklen Wäldern in die sonnenerhellten Gefilde des Sieges geführt! Der Sieg ist Euer und alle niederen Völker der Welt fürchten den Ansturm Eurer Armeen. Es ist ein Sieg - eines Barbarenvolkes! 
{EMT_VICTORY_DESCR_GREEK_CITIES}		Die Zivilisation wurde an alle Enden der Welt getragen! Die Griechen herrschen weise und gut über viele Lande - es ist ein Sieg! Besser noch: Es ist ein Sieg, den wir Eurer intelligenten und gewissenhaften Führung verdanken! Die Götter des Olymp haben Euch wahrlich mit wundersamen Führungsqualitäten gesegnet!
{EMT_VICTORY_DESCR_PARTHIA}		Parthien ist nun kein Königreich mehr, auf das andere mit Verachtung schauen. Eure überlegenen Fähigkeiten haben den parthischen Armeen zum Sieg verholfen und ein parthisches Banner ziert nun die Mauern vieler Städte. Die Welt ist nun das Spielzeug der Parther!
{EMT_VICTORY_DESCR_SELEUCID}		Das Seleukidenreich hat nun die größte Macht der Welt inne und wird von keiner Seite mehr bedroht! Eure Führung und Euer Geschick haben den Seleukiden zu diesem Sieg verholfen, und in allen Städten werden Statuen von Eurer Ehre künden! Selbst die Götter blicken voll des Neids auf Euch!

{EMT_VICTORY_DESCR_ALEMANNI}			Ihr habt triumphiert und die Sprache der Herrschenden, von der See bis zu den höchsten Gipfeln der Berge, ist jetzt Germanisch, nicht Latein. Die Welt wurde nach Eurem Plan neu geordnet und ein Herrscher der Alemannen gebietet nun über alle niederen Völker!
{EMT_VICTORY_DESCR_EMPIRE_EAST}		Das Römische Reich wurde erneuert. Von der glänzenden See zum höchsten Gipfel hat Gott den Legionen den Sieg geschenkt und die finsteren Barbaren zurückgeschlagen. Römischer Stahl, römischer Mut und römische Tugend haben über alle Widrigkeiten gesiegt! 
{EMT_VICTORY_DESCR_EMPIRE_WEST}		Das Römische Reich triumphiert! Das Erbe Cäsars wurde erneuert, die Legionen halten nun Wache über ein geeintes Volk. Die Barbaren wurden vertrieben und vor Euch breitet sich ein neues Zeitalter aus, mit Euch als Herrscher über die bekannte Welt!
{EMT_VICTORY_DESCR_EMPIRE_EAST_REBELS}	Die 'natürliche Ordnung' wurde gestürzt und Ihr triumphiert! Ein neues Römisches Reich erhebt sich aus er Asche des vergangenen - und nicht zu früh - unter Eurer klarsichtigen Führung, die ein neues Zeitalter der Blüte und des Friedens einläutet.
{EMT_VICTORY_DESCR_EMPIRE_WEST_REBELS}	Rom ist gefallen und an seiner Stelle steht ein neues Rom, ein Rom, gebaut auf den Geist kriegerischen Ruhmes und Könnens! Euer Triumph schallt zurecht im ganzen Reich - eine Erneuerung all dessen, was groß war, und die Geburt einer neuen Cäsarendynastie!
{EMT_VICTORY_DESCR_FRANKS}			Ihr habt für Euer Volk einen ruhmreichen Sieg errungen! Die Welt gehört nun rechtmäßig den Franken und kein nach Pferd stinkender Nomade oder parfümierter Römer wagt es noch, seine Stimme - geschweige denn sein Schwert  - gegen Euch zu erheben!
{EMT_VICTORY_DESCR_HUNS}			Ein Schwert, ein gutes Pferd und die offene Steppe - was braucht ein wahrer Krieger mehr? Ja - den Sieg! Und heute ist ein Tag des Sieges, Eure Hunnenkrieger haben Eure Feinde zermalmt und sie in den Staub unter den Hufen ihrer Pferde getrampelt. Heute ist der Tag für einen Trinkspruch auf die neuen Herren der Steppe und der weiten Welt! 
{EMT_VICTORY_DESCR_SARMATIANS}		Ein Schwert, ein gutes Pferd und die Kameradschaft hart kämpfender Sarmaten können einen Mann weit bringen. Ein Herrscher kann sogar einen Tag wie diesen erleben! Ihr habt gesiegt.
{EMT_VICTORY_DESCR_SASSANIDS}			Von Eurem rechtmäßigen Platz auf dem Pfauenthron könnt Ihr Eure Errungenschaften und Euren Triumph bewundern und über die gewaltige Ausdehnung Eures Reiches blicken. Eure Rivalen sind gestürzt, Eure Untertanen beugen sich demütig. Dies ist der Sieg.
{EMT_VICTORY_DESCR_SAXONS}			Ihr triumphiert! Die Lande der Sachsen erstrecken sich über die Welt und über die Wellen. Nun werden die Barden all ihren sorgsam gehüteten Wort-Schatz brauchen, um Euren Sieg zu besingen!
{EMT_VICTORY_DESCR_VANDALS}			Glückwunsch! Ihr habt die grimmigen zerstörerischen Wandalen zum größten Sieg geführt. Nun müssen sich die eroberten Völker der Welt beugen  - und auf Eure Gnade hoffen!
{EMT_VICTORY_DESCR_GOTHS}			Großartig! Ihr habt die Goten zum Sieg über alle niederen Völker geführt, auch über die einst mächtigen Römer und die furchtbaren Reiter aus der östlichen Steppe. Genießt diesen Moment, den Moment des Triumphs!
{EMT_VICTORY_DESCR_WHITE_HUNS}		Ein Schwert, ein gutes Pferd und die offene Steppe - was braucht ein wahrer Krieger mehr? Ja - den Sieg! Und heute ist der Tag des Sieges, Eure Weißen Hunnenkrieger haben Eure Feinde zermalmt und sie in den Staub unter den Hufen ihrer Pferde getrampelt.
{EMT_VICTORY_DESCR_OSTROGOTHS}		Großartig! Ihr habt die Ostgoten zum endgültigen Sieg über alle niederen Völker geführt, auch über Eure gotischen Brüder im Westen! Welch anderer Anführer hätte dies tun können? Genießt diesen Moment: den Moment des Triumphs! 
{EMT_VICTORY_DESCR_ROMANO_BRITISH}		Ihr triumphiert! Der Rückzug des römischen Reichs aus Britannien mag bedauerlich sein, doch ein Verlust führt oft zu späterer Größe! Rom ist durch Eure Anstrengung wiederauferstanden - und in Eurem Sieg!
{EMT_VICTORY_DESCR_SLAVS}			Ihr habt gewonnen! Das slawische Volk hat die Welt erobert und seine Feinde vor sich her getrieben, alles unter Eurer meisterlichen Führung. Es wird viele Jahrhunderte dauern, bis sich - wenn überhaupt - eine neue Bedrohung gegen das slawische Mutterland erhebt!
{EMT_VICTORY_DESCR_SLAVE}			Auflehnung und Ungehorsam wurden belohnt! Ein erfolgreicher Rebell ist nicht mehr ein Rebell - er ist der Herr über alles, was er sieht. Ihr werdet die Geschichte dessen schreiben, was vergangen ist: Die alte Ordnung kann im rechten Licht erscheinen und Euer gerechter Triumph zum Himmel schallen! 
{EMT_VICTORY_DESCR_BERBERS}			Ihr habt triumphiert! Euer Volk ist aus dem Staub der Wüste in die kalten feuchten Wälder marschiert und hat alle vor sich her getrieben! Niemand wagt es, sich jetzt der Macht der Berberarmeen entgegenzustellen!
{EMT_VICTORY_DESCR_MOORS}			Ihr habt triumphiert! Euer Volk ist aus dem Staub der Wüste in die kalten feuchten Wälder marschiert und hat alle vor sich her getrieben! Niemand wagt es, sich jetzt der Maurenarmee entgegenzustellen!
{EMT_VICTORY_DESCR_CELTS}			Ihr habt gesiegt! Unter Eurer mitreißenden Führung haben die Kelten ihre alten Lande von Generationen der Eroberer und Eindringlinge befreit, sogar die grausamen Römer beugen ihr Knie nun vor einem keltischen Herrn!

{EMT_DEFEATED_BY_ROMANS_BRUTII}	Der Sieg ist Euch entronnen und die Bruti, diese bösartigen Römer, halten nun die Welt in ihrer eisernen Hand. Dadurch ist sie zu einem finsteren, schrecklichen Ort geworden!
{EMT_DEFEATED_BY_ROMANS_JULII}		Der Sieg entglitt Euch und damit auch die Gelegenheit, die Welt Eurer Herrschaft zu unterwerfen. Die Julier, diese Freunde der römischen Meute, sind die neuen Herren. Das Römische Reich wurde für die Zukunft gesichert!
{EMT_DEFEATED_BY_ROMANS_SCIPII}	Der Götter haben Eure Anstrengungen nicht unterstützt und damit habt Ihr die Möglichkeit zum Sieg verloren. Stattdessen waren anscheinend die römischen Scipionen bevorzugt - wie sie es schon immer behaupteten - und bestimmen von nun an das Schicksal der Welt!
{EMT_DEFEATED_BY_BRITONS}		Die blau bemalten Britannier und ihre Druiden haben den Sieg an sich gerissen. Dieses Mal tragt Ihr den bitteren Nachgeschmack der Niederlage statt des süßen Siegesweins in Eurem Munde!
{EMT_DEFEATED_BY_CARTHAGE}		Euch bleibt nichts als die Niederlage! Die Karthager und ihre Söldner haben heute gesiegt! Ihre grausamen, mordlüsternen Praktiken werden sich auf der Welt ausbreiten und alle werden vor Angst erbeben. 
{EMT_DEFEATED_BY_EGYPT}		Der Pharao und seine sklavenhaften Anhänger haben Euch den Sieg entrissen. Dies ist ein dunkler Tag, an dem diese todverehrenden, leichenbesessenen Irrsinnigen zu derartiger Macht gelangen!
{EMT_DEFEATED_BY_GAULS}		Der Sieg gehört nicht mehr länger Euch. Die hosentragenden und unmenschlich behaarten Gallier haben die Herrschaft an sich gerissen! Es ist tragisch, dass ein so ungewaschenes Volk einen so großen Teil der Welt in der Hand hat!
{EMT_DEFEATED_BY_GERMANS}		Die Niederlage ist Euer einziger Lohn! Offensichtlich haben die Götter Euch den Rücken zugekehrt. Die Germanen - ein Volk von Wahnsinnigen aus den abgelegensten Wäldern - haben all ihre Feinde besiegt! Dies ist wahrlich ein schrecklicher Tag!
{EMT_DEFEATED_BY_GREEK_CITIES}		Von allen Völkern haben ausgerechnet die Griechen den Sieg errungen! Es ist ein dunkler Tag, an dem übermäßig schöne, parfümierte Gecken, die sich selbst für zivilisiert halten, an Eurer Stelle den Sieg verkünden. Doch eine Niederlage muss nicht ewig währen ...
{EMT_DEFEATED_BY_PARTHIA}		Die listigen, gerissenen Parther haben Euch den Sieg vor der ausgestreckten Hand fortgeschnappt. Es ist ein trauriger Tag, wenn ein pferdenärrisches Volk aus dem Osten den Sieg davonträgt, der Euch gebührt hätte!
{EMT_DEFEATED_BY_SELEUCID}		Das Seleukidenreich hat triumphiert und für Euch ist der Sieg nun unerreichbar. Zwar sind all Eure Pläne gescheitert, doch werden die freien Völker der Welt sich damit zufrieden geben, unter dem grausamen Joch der Seleukiden zu stehen?

{EMT_DEFEATED_BY_ALEMANNI}			Ihr wurdet von den Alemannen geschlagen; sicher ein verschlagenes Volk und ein würdiger Gegner. Werden sie ihren neuen Untertanen auch würdige Herrscher sein?
{EMT_DEFEATED_BY_EMPIRE_EAST}			Ihr wurdet von der Macht des oströmischen Reiches geschlagen. Solche Männer nennen sich vielleicht Römer, aber sind sie mehr als stutzerhafte Griechen? Und Ihr wurdet von ihnen geschlagen ...
{EMT_DEFEATED_BY_EMPIRE_WEST}			Der Sieg ist Euch entgangen. Die Tugenden römischen Mutes und der Stärke waren zu viel, und die jahrhundertealte Schwäche Roms offenbar nur eine List, damit Ihr Euch in Sicherheit wiegt, bevor Euch der Todesstoß trifft!
{EMT_DEFEATED_BY_EMPIRE_EAST_REBELS}		Rom hat triumphiert, aber nicht das Rom Cäsars und Trajans. Ihr wurdet von einem Haufen aufständischen römischen Abschaums geschlagen! Dieses neue Rom ist ein Rom des Ostens, über das aufständische Griechen und Schlimmeres herrschen!
{EMT_DEFEATED_BY_EMPIRE_WEST_REBELS}		Die natürliche Ordnung der Welt wurde gestürzt und eine Ansammlung römischer Aufständischer, Verbrecher und gesellschaftlichen Abschaums hat Euch geschlagen. Dieses neue Rom nennt sich Herr der Welt, aber seine wahren Herren liegen erschlagen!
{EMT_DEFEATED_BY_FRANKS}			Ihr wurdet von den Franken besiegt. Niemand wagt es, das Schwert der Rebellion gegen diese axtliebenden Barbaren zu erheben, nicht einmal das Pferdevolk aus der Steppe oder die einst mächtigen Römer!
{EMT_DEFEATED_BY_HUNS}				Wildheit und Grausamkeit sind schreckliche Herren, doch verglichen mit den Hunnen erscheinen sie wie liebevolle Eltern! Ihr wurdet von diesen schrecklichen halb-tierischen Kreaturen aus der fernen Steppe geschlagen. Alles ist verloren! Alles ist finster!
{EMT_DEFEATED_BY_SARMATIANS}			Ihr wurdet von der Macht jener hart kämpfenden Pferdeherren niedergeworfen, den Sarmaten. Sie waren würdige Gegner. Werden sie auch großherzige Eroberer sein?
{EMT_DEFEATED_BY_SASSANIDS}			Ihr wurdet unter der Macht des großen Persischen Reiches zermalmt. In ihren großen Palästen im Osten sind die Sassaniden zu Recht stolz auf ihre Leistung, während Euer Volk im Beisein seiner neuer Herren zittert ...
{EMT_DEFEATED_BY_SAXONS}			Die brutalen Sachsen haben über Euch triumphiert. Ihre Barden werden in endlosen Liedern mit ihrem Sieg prahlen - sicher verdient niemand unter ihrer eisernen Herrschaft so eine Strafe!
{EMT_DEFEATED_BY_VANDALS}			Ihr wurdet von den brutalen Wandalen zermalmt, einem Volk, das so beiläufig Gewalt verübt, dass ihr Name zum Begriff für willkürliche Zerstörung geworden ist! Fürchtet unter solch grimmigen Herren um die Zukunft Eures Volkes!
{EMT_DEFEATED_BY_GOTHS}			Die verschlagenen, herzlosen Goten haben Euch zu Fall gebracht; ein Volk, das für seine finsteren und grausamen Taten im Krieg wie im Frieden bekannt ist. Eurem Volk kommen die Tränen, bei dem Gedanken an das Leben unter der Tyrannei solcher Männer ... 
{EMT_DEFEATED_BY_WHITE_HUNS}			Grausame Barbarei ist das Los derer, die nach der Laune der Weißen Hunnen leben! Sie haben Euch erobert, und nun ist alles verloren! Alles ist finster! Nur die Klagen Eures Weibsvolks werden an Euer Hinscheiden erinnern ... 
{EMT_DEFEATED_BY_OSTROGOTHS}			Die verschlagenen Ostgoten haben Euch zu Fall gebracht; ein Volk, das sich als furchtbarer Feind erwiesen hat. Eurem Volk kommen die Tränen bei dem Gedanken an ein Leben unter der Tyrannei solcher Männer  - wie nach dieser Niederlage ... 
{EMT_DEFEATED_BY_ROMANO_BRITISH}		Ihr wurdet von den Romano-Briten geschlagen, dem Volk von Britannien, das sich mit der angeborenen Renitenz seiner Insel beharrlich weigerte, den Rückzug des Römischen Reichs aus ihren Landen hinzunehmen. Jetzt können sie eine neues Rom nach ihrem Vorbild errichten!
{EMT_DEFEATED_BY_SLAVS}			Ihr wurdet von den grausamen Slawen zermalmt. Euer Land ist nun das slawische Mutterland, Euer Volk schuftet auf slawischen Feldern und Eure Kinder werden aufwachsen und nur Slawen als grausame Lehrer kennen!
{EMT_DEFEATED_BY_SLAVE}			Die natürliche und rechtmäßige Ordnung der Welt wurde auf den Kopf gestellt! Ihr wurdet von Aufständischen besiegt, von Sklaven und anderem Abschaum, der sich Herren nennt!
{EMT_DEFEATED_BY_BERBERS}			Ihr wurdet von den Berbern besiegt! Euer Volk muss nun verstaubte Kameltreiber und Ziegendiebe 'Herr' nennen und sich vor ihnen beugen. Dies ist ein Tag der Verzweiflung und der Schande! 
{EMT_DEFEATED_BY_MOORS}			Ihr wurdet von den Mauren besiegt! Euer Volk muss nun verstaubte Kameltreiber und Ziegendiebe 'Herr' nennen und sich vor ihnen beugen. Dies ist ein Tag der Verzweiflung und der Schande!
{EMT_DEFEATED_BY_CELTS}			Ihr wurdet von den Kelten geschlagen, einem alten Volk, das die Welt wieder als sein Eigentum beansprucht. Einst beherrschten die Kelten fast ganz Europa, doch nun haben sie Gelegenheit, dies wieder zu tun, und die Herrschaft Roms war vielleicht nur ein kurzes Zwischenspiel ...

{EMT_SHORT_VICTORY_ROMANS_BRUTII}	Euer Sieg ist Eurer stolzen Bruti-Vorfahren würdig. Die abscheulichen Makedonier und parfümierten Griechen sind von uns gegangen; zurück bleiben nur noch ihre Ruinen! Herzlichen Glückwunsch, dass Ihr Eure Familie als wahre Römer zum Triumph geführt habt!
{EMT_SHORT_VICTORY_ROMANS_JULII}		Euer Sieg ist eines wahren Römers würdig. Die Familie der Julier genießt es voller Freude, dass die barbarischen und haarigen Gallier vernichtet sind! Dies ist wahrlich ein Grund zum Feiern!
{EMT_SHORT_VICTORY_ROMANS_SCIPII}	Euer Sieg ist ein wahrlich nobler! Eure Erzfeinde in Afrika - die Karthager und Numider - sind nur noch eine Fußnote der Geschichte, die von nun an über Euren ruhmreichen Triumph berichten wird!
{EMT_SHORT_VICTORY_BRITONS}		Euer Sieg ist eine große Feier wert, mit viel Wein, Wein und nochmals Wein! Die üblen und nach Zwiebeln stinkenden Gallier wurden vernichtet und Euer Land kann sich mit vielen tapferen Kriegern schmücken! Genießt Euren Triumph!
{EMT_SHORT_VICTORY_CARTHAGE}		Der Sieg schmeckt süß und ist wahrhaft groß! Die hinterhältigen und verlogenen Scipionen liegen in ihren Gräbern - keine Sekunde zu früh. Auch die barbarischen Spanier bereiten Euch nicht länger Sorgen. Kostet Euren Triumph aus!
