¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					The House of Julii
{EMT_VICTORY_DESCR_PARTHIA}			Parthia is now an empire, not a mere kingdom overlooked and treated with contempt by others. Your superior command skills have brought victory to Parthian armies, and placed a Parthian banner on the walls of many towns and cities. The world is now a Parthian plaything!
{EMT_VICTORY_DESCR_SELEUCID}			The Seleucid Empire is now the mightest power in the world, unassailable by any external threat! Your leadership and command abilities have brought this victory to the Seleucids, and statues in your honour should be prominent in every town and city! The gods themselves look on in jealousy!

{EMT_VICTORY_DESCR_ALEMANNI}			You have triumphed, and the language of rulership from the sea shore to the highest of mountains is now German, not Latin. The world has been rearranged to suit your ends, and now an Alemanni ruler holds sway over all lesser people!
{EMT_VICTORY_DESCR_EMPIRE_EAST}		The Roman Empire is renewed. From shining sea to highest mountain, God has granted victory to the Legions and held the barbarian darkness at bay. Roman steel, Roman courage and Roman virtue have triumphed over all adversity! 
{EMT_VICTORY_DESCR_EMPIRE_WEST}		The Roman Empire is triumphant! The legacy of Caesar has been renewed, and the Legions now stand guard over a united people. The barbarians have been kept out and a new age stretches before you as ruler of the known world!
{EMT_VICTORY_DESCR_EMPIRE_EAST_REBELS}	The 'natural order' has been overthrown, and you are triumphant! A new Roman Empire arises from the ashes of the old - and not before time - under your enlightened leadership, bringing about a new age of prosperity and peace. 
{EMT_VICTORY_DESCR_EMPIRE_WEST_REBELS}	Rome has fallen, to be replaced by a New Rome, a rome built on the spirit of martial glory and excellence! Your triumph is justly hailed across the Empire - a renewal of all that was great, and the birth of a new lineage of Caesars!
{EMT_VICTORY_DESCR_FRANKS}			You have won a glorious victory for your people! The world now rightly belongs to the Franks, and no horse-smelling nomad or perfumed Roman dare raise his voice - let alone a sword - against you!
{EMT_VICTORY_DESCR_HUNS}			A sword, a good horse, and the open steppe - does a true warrior need more? Yes - he needs victory! And today is a day of victory, as your Hun warriors have crushed your enemies and trampled them into the dust beneath their horses' hooves. This is a day to drink to the new masters of the steppe and the wide world!
{EMT_VICTORY_DESCR_SARMATIANS}		A sword, a good horse and the comradeship of hard-fighting Sarmatians can take a man a long way. Indeed, they can take a ruler to a day of such as this one! You have triumphed. 
{EMT_VICTORY_DESCR_SASSANIDS}			From your rightful place on the Peacock Throne you can admire your achievement and triumph, and gaze upon the vast extent of your Empire. Your rivals have been cast down, your subjects are cowed into submission. This is victory!
{EMT_VICTORY_DESCR_SAXONS}			You are triumphant! The lands of the Saxons stretch across the world and across the waves. Now the bards will spend all their careful word-hoards to sing of your victories!
{EMT_VICTORY_DESCR_VANDALS}			Congratulations! You have lead the fierce and destructive Vandals to ultimate victory. Now the conquered peoples of the world must bow down - and await our mercy!
{EMT_VICTORY_DESCR_GOTHS}			Magnificent! You have lead the Goths to ultimate victory over all lesser peoples, including the once-mighty Romans and the fiercesome horsemen from the eastern steppes. This is a moment to savour, the moment of triumph!
{EMT_VICTORY_DESCR_WHITE_HUNS}		A sword, a good horse, and the open steppe - does a true warrior need more? Yes - he needs victory! And today is a day of victory, as your White Hun warriors have crushed your enemies and trampled them into the dust beneath their horses' hooves. 
{EMT_VICTORY_DESCR_OSTROGOTHS}		Magnificent! You have lead the Ostrogoths to ultimate victory over all lesser peoples, even including your fellow Goths in the West! What other leader could have done this? This is a moment to savour: the moment of triumph!
{EMT_VICTORY_DESCR_ROMANO_BRITISH}		You are triumphant! The withdrawal of the Roman Empire from Britannia may have been unfortunate, but a setback can often be the spur to later greatness! Rome has been reborn in your efforts - and in your victory!
{EMT_VICTORY_DESCR_SLAVS}			You have won! The Slav people have conquered the world, driven their enemies before them, and done so under your masterful leadership. It will be many centuries - if ever - before a new threat arises to the Slav motherland!
{EMT_VICTORY_DESCR_SLAVE}			Rebellion and insurrection have been rewarded! A successful rebel is a rebel no longer - he is the new master of all he surveys. You will write the histories of what has gone: the old order can be shown in their proper light, and your rightful triumph lauded to the heavens!
{EMT_VICTORY_DESCR_BERBERS}			You have triumphed! Your people have marched from the dust of the desert to the cold, dank forests and driven all before them! No one dares stand against the might of Berber armies now!
{EMT_VICTORY_DESCR_MOORS}			You have triumphed! Your people have marched from the dust of the desert to the cold, dank forests and driven all before them! No one dares stand against the might of Moor armies now!
{EMT_VICTORY_DESCR_CELTS}			You are victorious! Under your inspiring leadership the Celts have reclaimed their old lands from generations of invaders and interlopers, even the cruel Romans now bow the knee to a Celtic overlord!

{EMT_DEFEATED_BY_ROMANS_BRUTII}		Victory has eluded your grasp, and instead the Brutii, those cruel Romans, now hold the world in their iron grasp. The world is a darker, more terrible place as a result!
{EMT_DEFEATED_BY_ROMANS_JULII}			Victory has slipped away, and you have lost the chance to rule the world. The Julii family, friends to the Roman mob, now rule the roost. The Roman Empire is secured for the future!
{EMT_DEFEATED_BY_ROMANS_SCIPII}		The gods have not smiled upon your efforts, and the chance of victory has slipped away. Instead, the Roman Scipii family have been favoured - as they always claimed - and now command the destiny of the world!
{EMT_DEFEATED_BY_BRITONS}			The blue-painted Britons and their bloody-handed druids have snatched victory. This time you must taste the ashes of defeat, rather than the sweet wine of success!
{EMT_DEFEATED_BY_CARTHAGE}			Defeat is all that you can claim! The Carthaginians and their mercenaries have won the day! Their foul baby-murdering practices will now spread across the world, and all will know fear. 
{EMT_DEFEATED_BY_EGYPT}			The Pharaoh and his slavish followers have snatched victory from you. This is a dark day, that such a group of death-worshipping corpse-obsessed madmen should have taken such power!
{EMT_DEFEATED_BY_GAULS}			Victory can no longer by yours. The trouser-wearing and unfeasibly moustached Gauls now rule the roost! It is a sad turn of events that such unwashed people control so much of the world!
{EMT_DEFEATED_BY_GERMANS}			Defeat is your only reward! The gods have obviously turned their backs on your efforts. The Germans - a mad people from the darkest of backwoods, after all - have achieved victory over all their foes! A black day!
{EMT_DEFEATED_BY_GREEK_CITIES}			Victory has been claimed by the Greeks, of all people! This is a dark day, when over-nice and perfumed fops who pretend to be civilized claim victory in your place. Defeat, however, need not be the final verdict...
{EMT_DEFEATED_BY_PARTHIA}			Victory has been snatched from your outstretched hand by the wily and cunning Parthians. This is a dark day - that horse-lovers and Easterners should claim victory in your place!
{EMT_DEFEATED_BY_SELEUCID}			The Seleucid Empire has triumphed, and victory can no longer be yours. All your plans may have come to naught, but will the free peoples of the world by happy, bowed beneath the cruel Seleucid yoke?

{EMT_DEFEATED_BY_ALEMANNI}			You have been beaten by the Alemanni, a cunning people to be sure, and ones that have proved worthy opponents. Will they prove to be worthy rulers over their new subjects?
{EMT_DEFEATED_BY_EMPIRE_EAST}			You have been beaten by the forces of the Eastern Empire. Such men may call themselves Roman, but are they any more than foppish Greeks? And you were beaten by them...
{EMT_DEFEATED_BY_EMPIRE_WEST}			Victory has eluded you. The virtues of Roman courage and strength have been too much, and the century-old weakness of Rome itself was obviously a ploy to make you complacent before they struck the fatal blow!
{EMT_DEFEATED_BY_EMPIRE_EAST_REBELS}		Rome has triumphed, but not the Rome of Caesar and Trajan. You have been beaten by a rabble of rebellious Roman scum! This new Rome is a Rome of the East, a Rome ruled by rebellious Greeks and worse!
{EMT_DEFEATED_BY_EMPIRE_WEST_REBELS}		The natural order of the world has been overturned, and a collection of Roman rebels, criminals and social scum have beaten you. This new Rome proclaims itself the master of the world, but its true masters lie dead!
{EMT_DEFEATED_BY_FRANKS}			You have been defeated by the Franks. No one dare raise the sword of rebellion against these axe-loving barbarians, not even the horse-people of the steppes or the once-mighty Romans!
{EMT_DEFEATED_BY_HUNS}				Savagery and cruelty are terrible masters, but compared to the Huns they seem like loving parents! You have been defeated by these terrible half-human creatures from the distant steppes. All is lost! All is darkness!
{EMT_DEFEATED_BY_SARMATIANS}			You have been crushed by the might of those hard-fighting horsemasters, the Sarmatians. They were worthy foes. Will they prove to be magnanimous conquerors? 
{EMT_DEFEATED_BY_SASSANIDS}			You have been crushed beneath the might of the great Persian Empire. From their great palaces in the east, the Sassanids have every right to feel pride in their achievements, while your people tremble in the presence of their new masters...
{EMT_DEFEATED_BY_SAXONS}			The brutal Saxons have triumphed over you. Their bards will sing endless songs boasting of their victory - surely more punishment than anyone living beneath their iron rule deserves!
{EMT_DEFEATED_BY_VANDALS}			You have been crushed by the brutal Vandals, a people so casually violent that their name has become a byword for wanton destruction! Fear for the future of your people under such harsh masters!
{EMT_DEFEATED_BY_GOTHS}			You have been brought low by the cunning and vicious Goths, a people noted for their black and cruel ways in war and peace. Your people must weep to think of living under the tyranny of such men...
{EMT_DEFEATED_BY_WHITE_HUNS}			Savagery and cruelty will be the lot of those who live at the whim of the White Huns! They have conquered you, and now all is lost! All is darkness! Only the lamenting of your women-folk will mark your passing...
{EMT_DEFEATED_BY_OSTROGOTHS}			You have been brought low by the cunning Ostrogoths, a people who have proved to be terrible enemies. Your people must weep to think of living under the tyranny of such men after this defeat...
{EMT_DEFEATED_BY_ROMANO_BRITISH}		You have been beaten by the Romano-British, the people of Britannia who, with native awkwardness of their island, refused to accept the withdrawal of the Roman Empire from their lands. Now they have a chance to establish a new Rome in their own image!
{EMT_DEFEATED_BY_SLAVS}			You have been crushed by the cruel Slavs. Your lands are now the Slav motherland, your people now labour in Slav fields, and your children will grow up knowing only Slavs as harsh taskmasters!
{EMT_DEFEATED_BY_SLAVE}			The natural and right order of the world is turned upside down! You have been defeated by rebels, slaves and other scum who now call themselves masters!
{EMT_DEFEATED_BY_BERBERS}			You have been defeated by the Berbers! Your people must now call a dusty camel herders and goat thieves 'Masters', and bow down before them. This is a day of despair and infamy! 
{EMT_DEFEATED_BY_MOORS}			You have been defeated by the Moors! Your people must now call a dusty camel herders and goat thieves 'Masters', and bow down before them. This is a day of despair and infamy!
{EMT_DEFEATED_BY_CELTS}			You have been beaten by the Celts, an old people who have reclaimed the world as their own. Once Celts ruled much of Europe, now they have a chance to do so again and Rome's mastery may have been but an interlude...

{EMT_SHORT_VICTORY_ROMANS_BRUTII}		Your victory is worthy of your proud Brutii ancestors. The foul Macedonians and perfumed Greeks have passed away, leaving not so much as a ruin behind! Congratulations on leading your family to a triumph as true Romans!
{EMT_SHORT_VICTORY_ROMANS_JULII}		Your victory is worthy of a true Roman. The family of Julii can take pleasure in seeing the barbarous, hairy Gauls driven to extinction, slavery and worse! This is a triumph and should be enjoyed!
{EMT_SHORT_VICTORY_ROMANS_SCIPII}		Your victory is a worthy and noble one! Your treacherous enemies in Africa - Carthage and Numidia - are only foot notes in the histories that will be written to praise your trimuph!
{EMT_SHORT_VICTORY_BRITONS}			Your victory is worthy of a modest celebration, involving drink, drink and some more drink! The foul and onion-reeking Gauls are no more, and your lands support many warriors! Celebrate your triumph!
{EMT_SHORT_VICTORY_CARTHAGE}			This victory is worthy and most sweet! The evil and mendacious Scipii are now in their graves - and none too soon - and the barbarous Spanish need trouble your thoughts no longer. This is a triumph to savour!
{EMT_SHORT_VICTORY_EGYPT}			Any Pharaoh would be pleased to celebrate a such a victory. The Seleucid menace is at an end, and the lands of Egypt are broad and many. This is a day to enjoy: a day of victory under your leadership!
{EMT_SHORT_VICTORY_GAULS}			The family of Julii and their lying allies in the Senate of Rome have been cast down. Gallic warriors rule much of the world, and this achievement is owed to your inspired war leadership. Celebrate your success!
{EMT_SHORT_VICTORY_GERMANS}			Victory has come to the Germans, thanks to your inspiring war leadership! The brutal Dacians and the mad horsemen of Scythia are all dead or enslaved, and German warriors hold many lands!
{EMT_SHORT_VICTORY_GREEK_CITIES}		The gods have smiled on your work, and victory is yours! The Macedonians and Thracians are cast down into the dust, and so all true and honest Greeks celebrate your success!
{EMT_SHORT_VICTORY_PARTHIA}			Victory has come! The horsemen of Parthia rule many lands thanks to your resolute leadership. Better still, the wicked Seleucids and Armenians have been driven into slavery or extinction!
{EMT_SHORT_VICTORY_SELEUCID}			Today the Seleucid Empire can celebrate, thanks to your noble leadership! Better still, the death-worshipping and unnatural Egyptians are gone to their ancestors - and may they have much joy of it!


{CHRISTIAN_LABEL}			Christianity
{CHRISTIAN_ORDER}			Christianity is improving public order in this settlement
{CHRISTIAN_UNREST}			Christianity is causing unrest in this settlement
{ZOROASTRIAN_LABEL}			Zoroastrianism
{ZOROASTRIAN_ORDER}			Zoroastrianism is improving public order in this settlement
{ZOROASTRIAN_UNREST}			Zoroastrianism is causing unrest in this settlement
{PAGAN_LABEL}				Paganism
{PAGAN_ORDER}				Paganism is improving public order in this settlement
{PAGAN_UNREST}				Paganism is causing unrest in this settlement

¬ Faction Descriptions - Label should be the faction's labes in caps appended with _DESCR

{ROMANS_JULII_DESCR}			Roman Julii Family\nLegionary infantry and supporting auxiliary troops, limited cavalry
{ROMANS_BRUTII_DESCR}			Roman Brutii Family\nLegionary infantry and supporting auxiliary troops, limited cavalry
{ROMANS_SCIPII_DESCR}			Roman Scipii Family\nLegionary infantry and supporting auxiliary troops, limited cavalry
{ROMANS_SENATE_DESCR}			Senate and People of Rome\nLegionary infantry and supporting auxiliary troops, limited cavalry
{MACEDON_DESCR}			Macedonians\nHoplites and pike phalanxes plus powerful cavalry
{EGYPT_DESCR}				Egyptians\nGood spearmen and foot archers along with swift cavalry and chariots
{SELEUCID_DESCR}			Seleucids\nPowerful selection of phalanxes, heavy cataphract cavalry and elephants
{CARTHAGE_DESCR}			Carthaginians\nFlexible selection of all troop types, plus powerful elephants!
{PARTHIA_DESCR}			Parthians\nCavalry, including horse archers and powerful armoured cataphracts; weak infantry
{PONTUS_DESCR}				People of Pontus\nFlexible army of light infantry, phalanxes, heavy cavalry and chariots
{GAULS_DESCR}				Gauls\nStrong close-combat infantry, but very limited cavalry
{GERMANS_DESCR}			Germans\nAxemen and specialist infantry with limited selection of cavalry
{BRITONS_DESCR}			Britons\nFanatical barbarian infantry plus swift charioteers
{ARMENIA_DESCR}			Armenians\nHorse archers including armoured cataphract archers but few infantry types
{DACIA_DESCR}				Dacians\nBarbarian close-combat infantry including falxmen but very little cavalry
{GREEK_CITIES_DESCR}			Greeks\nMany hoplite phalanxes (including Spartans) and missile support but limited cavalry choice
{NUMIDIA_DESCR}			Numidians\nLight desert infantry and good cavalry including camel-mounted specialists
{SCYTHIA_DESCR}			Scythians\nMaster horsemen and archers but almost no melee infantry
{SPAIN_DESCR}				Spanish\nGood mix of fanatic barbarians and organised infantry with some cavalry support
{THRACE_DESCR}				Thracians\nGood choice of hoplite phalanxes and barbarian close-combat specialists but limited cavalry
{SLAVE_DESCR}				Slaves and Rebels\nGladiators and cheap (but weak) peasants

{ALEMANNI_DESCR}			Alemanni\nGood mix of barbarian troop types, plus heroic warriors!
{EMPIRE_EAST_DESCR}			Eastern Roman Empire\nStrong mixture of troops, few weak units
{EMPIRE_WEST_DESCR}			Western Roman Empire\nGood mixture of infantry, cavalry rather limited
{EMPIRE_EAST_REBELS_DESCR}		Eastern Roman Rebels\nStrong mixture of troops, few weak units
{EMPIRE_WEST_REBELS_DESCR}		Western Roman Rebels\nGood mixture of infantry, cavalry rather limited
{FRANKS_DESCR}				Germanic Frankish Tribes\nReliable infantry, missile troops but limited choice of cavalry
{HUNS_DESCR}				Huns\nAlmost unmatched horsemen and archers, limited supporting infantry
{SARMATIANS_DESCR}			Sarmatians\nSuperb cavalry and horse archers, good infantry support
{SASSANIDS_DESCR}			Sassanid Empire\nExcellent mix of forces, including cataphracts and elephants
{SAXONS_DESCR}				Saxons\nSuperior close-combat infantry, very limited cavalry choices
{VANDALS_DESCR}			Vandals\nGood selection of all troop types, weakness in siege gear
{GOTHS_DESCR}				Goths\nGood mix of cavalry and infantry forces, limited siege equipment
{CELTS_DESCR}				Celts\nOld-fashioned, but effective, mixture of lightly armoured troops
{WHITE_HUNS_DESCR}			White Huns\nAlmost unmatched horsemen and archers, limited supporting infantry
{OSTROGOTHS_DESCR}			Ostrogoths\nGood mix of cavalry and infantry forces, limited siege equipment
{ROMANO_BRITISH_DESCR}		Romano-British\nLimited selection of Roman units, plus local elite forces
{SLAVS_DESCR}				Slavs\nGood selection of all troop types, weakness in siege gear
{MOORS_DESCR}				Moors\nLimited selection of tough, desert warriors
{BERBERS_DESCR}			Berbers\nLimited selection of tough, desert warriors

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 18/04/2005 12:45:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{LOMBARDI}					Lombardi
{BURGUNDII}					Burgundii
{ROXOLANI}					Roxolani

{EMT_LOMBARDI_SPY}					Lombardi Spy
{EMT_LOMBARDI_ASSASSIN}					Lombardi Assassin
{EMT_LOMBARDI_DIPLOMAT}					Lombardi Diplomat
{EMT_LOMBARDI_ADMIRAL}					Lombardi Navy
{EMT_LOMBARDI_GENERAL}					Lombardi Army
{EMT_LOMBARDI_NAMED_CHARACTER}					Lombardi Family Member
{EMT_BURGUNDII_SPY}					Burgundii Spy
{EMT_BURGUNDII_ASSASSIN}					Burgundii Assassin
{EMT_BURGUNDII_DIPLOMAT}					Burgundii Diplomat
{EMT_BURGUNDII_ADMIRAL}					Burgundii Navy
{EMT_BURGUNDII_GENERAL}					Burgundii Army
{EMT_BURGUNDII_NAMED_CHARACTER}					Burgundii Family Member
{EMT_ROXOLANI_SPY}					Roxolani Spy
{EMT_ROXOLANI_ASSASSIN}					Roxolani Assassin
{EMT_ROXOLANI_DIPLOMAT}					Roxolani Diplomat
{EMT_ROXOLANI_ADMIRAL}					Roxolani Navy
{EMT_ROXOLANI_GENERAL}					Roxolani Army
{EMT_ROXOLANI_NAMED_CHARACTER}					Roxolani Family Member

{LOMBARDI_DESCR}			Lombardi\nGood mix of barbarian troop types, plus heroic warriors!
{BURGUNDII_DESCR}			Burgundii\nGood mix of barbarian troop types, plus heroic warriors!
{ROXOLANI_DESCR}			Roxolani\nSuperb cavalry and horse archers, good infantry support

{EMT_VICTORY_DESCR_LOMBARDI}			You have triumphed, and the language of rulership from the sea shore to the highest of mountains is now German, not Latin. The world has been rearranged to suit your ends, and now a Lombardi ruler holds sway over all lesser people!
{EMT_VICTORY_DESCR_BURGUNDII}			You have triumphed, and the language of rulership from the sea shore to the highest of mountains is now German, not Latin. The world has been rearranged to suit your ends, and now an Burgundii ruler holds sway over all lesser people!
{EMT_VICTORY_DESCR_ROXOLANI}		A sword, a good horse and the comradeship of hard-fighting Roxolani can take a man a long way. Indeed, they can take a ruler to a day of such as this one! You have triumphed. 

{EMT_DEFEATED_BY_LOMBARDI}			You have been beaten by the Lombardi, a cunning people to be sure, and ones that have proved worthy opponents. Will they prove to be worthy rulers over their new subjects?
{EMT_DEFEATED_BY_BURGUNDII}			You have been beaten by the Burgundii, a cunning people to be sure, and ones that have proved worthy opponents. Will they prove to be worthy rulers over their new subjects?
{EMT_DEFEATED_BY_ROXOLANI}			You have been crushed by the might of those hard-fighting horsemasters, the Roxolani. They were worthy foes. Will they prove to be magnanimous conquerors? 

{EMT_YOUR_FORCES_AMBUSHED_ARMY_LOMBARDI}				Your forces are ambushed by an army of Lombardi
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BURGUNDII}				Your forces are ambushed by an army of Burgundii
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROXOLANI}				Your forces are ambushed by an army of Roxolani

{EMT_YOUR_FORCES_ATTACKED_NAVY_LOMBARDI}				Your forces are attacked by a navy of Lombardi
{EMT_YOUR_FORCES_ATTACKED_NAVY_BURGUNDII}				Your forces are attacked by a navy of Burgundii
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROXOLANI}				Your forces are attacked by a navy of Roxolani

{EMT_YOUR_FORCES_AMBUSH_ARMY_LOMBARDI}				Your forces ambush an army of Lombardi
{EMT_YOUR_FORCES_AMBUSH_ARMY_BURGUNDII}				Your forces ambush an army of Burgundii
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROXOLANI}			Your forces ambush an army of Roxolani

{EMT_YOUR_FORCES_ATTACKED_ARMY_LOMBARDI}				Your forces are attacked by an army of Lombardi
{EMT_YOUR_FORCES_ATTACKED_ARMY_BURGUNDII}				Your forces are attacked by an army of Burgundii
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROXOLANI}				Your forces are attacked by an army of Roxolani

{EMT_YOUR_FORCES_ATTACK_ARMY_LOMBARDI}						Your forces attack an army of Lombardi
{EMT_YOUR_FORCES_ATTACK_ARMY_BURGUNDII}						Your forces attack an army of Burgundii
{EMT_YOUR_FORCES_ATTACK_ARMY_ROXOLANI}						Your forces attack an army of Roxolani

{EMT_YOUR_FORCES_ATTACK_NAVY_LOMBARDI}				Your forces attack a navy of Lombardi
{EMT_YOUR_FORCES_ATTACK_NAVY_BURGUNDII}				Your forces attack a navy of Burgundii
{EMT_YOUR_FORCES_ATTACK_NAVY_ROXOLANI}			Your forces attack a navy of Roxolani

{EMT_LOMBARDI_FACTION_HEIR}			Lombardi Faction Heir
{EMT_BURGUNDII_FACTION_HEIR}			Burgundii Faction Heir
{EMT_ROXOLANI_FACTION_HEIR}			Roxolani Faction Heir

{EMT_LOMBARDI_FACTION_LEADER}		Lombardi Faction Leader
{EMT_BURGUNDII_FACTION_LEADER}		Burgundii Faction Leader
{EMT_ROXOLANI_FACTION_LEADER}		Roxolani Faction Leader

{EMT_LOMBARDI_WATCHTOWER}				Lombardi Watchtower
{EMT_BURGUNDII_WATCHTOWER}				Burgundii Watchtower
{EMT_ROXOLANI_WATCHTOWER}				Roxolani Watchtower

{EMT_LOMBARDI_FISHING_VILLAGE}			Lombardi Fishing Village
{EMT_BURGUNDII_FISHING_VILLAGE}			Burgundii Fishing Village
{EMT_ROXOLANI_FISHING_VILLAGE}			Roxolani Fishing Village

{EMT_LOMBARDI_DOCK}			Lombardi Docks
{EMT_BURGUNDII_DOCK}			Burgundii Docks
{EMT_ROXOLANI_DOCK}			Roxolani Docks

{EMT_LOMBARDI_PORT}			Lombardi Port
{EMT_BURGUNDII_PORT}			Burgundii Port
{EMT_ROXOLANI_PORT}			Roxolani Port

{EMT_LOMBARDI_FORT}			Lombardi Fort
{EMT_BURGUNDII_FORT}			Burgundii Fort
{EMT_ROXOLANI_FORT}			Roxolani Fort

{EMT_LOMBARDI_CAPITAL}				Lombardi Capital
{EMT_BURGUNDII_CAPITAL}				Burgundii Capital
{EMT_ROXOLANI_CAPITAL}				Roxolani Capital

{EMT_LOMBARDI_VILLAGE}			Lombardi Village
{EMT_LOMBARDI_TOWN}			Lombardi Town
{EMT_LOMBARDI_LARGE_TOWN}		Lombardi Large Town
{EMT_LOMBARDI_CITY}			Lombardi City
{EMT_LOMBARDI_LARGE_CITY}		Lombardi Large City
{EMT_LOMBARDI_HUGE_CITY}		Lombardi Huge City
{EMT_BURGUNDII_VILLAGE}			Burgundii Village
{EMT_BURGUNDII_TOWN}			Burgundii Town
{EMT_BURGUNDII_LARGE_TOWN}		Burgundii Large Town
{EMT_BURGUNDII_CITY}			Burgundii City
{EMT_BURGUNDII_LARGE_CITY}		Burgundii Large City
{EMT_BURGUNDII_HUGE_CITY}		Burgundii Huge City
{EMT_ROXOLANI_VILLAGE}			Roxolani Village
{EMT_ROXOLANI_TOWN}			Roxolani Town
{EMT_ROXOLANI_LARGE_TOWN}		Roxolani Large Town
{EMT_ROXOLANI_CITY}			Roxolani City
{EMT_ROXOLANI_LARGE_CITY}		Roxolani Large City
{EMT_ROXOLANI_HUGE_CITY}		Roxolani Huge City

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			Only changes made after 06/06/2005 17:00:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{VANDALS_DESCR}			Vandals\nGood selection of all troop types, weakness in siege gear
{SLAVS_DESCR}				Slavs\nGood selection of all troop types, weakness in siege gear

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 27/06/2005 11:55:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 08/07/2005 17:43:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 20/07/2005 12:23:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			THERE SHOULD NOW BE NO MORE CHANGES! 
¬*			SEE ROSS/LUCI/MIKE!
¬*
¬*			Only changes made after 05/08/2005 16:25:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

`
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************

{SCIRIA_01}						Sciria
{EMT_SCIRIA_01_SPY}				Sciri Spy
{EMT_SCIRIA_01_ASSASSIN}				Sciri Assassin
{EMT_SCIRIA_01_DIPLOMAT}				Sciri Diplomat
{EMT_SCIRIA_01_ADMIRAL}				Sciri Navy
{EMT_SCIRIA_01_GENERAL}				Sciri Army
{EMT_SCIRIA_01_NAMED_CHARACTER}			Sciri Family Member
{EMT_SCIRIA_01_MERCHANT}				Sciri Merchant
{EMT_SCIRIA_01_VILLAGE}				Sciri Village
{EMT_SCIRIA_01_TOWN}				Sciri Town
{EMT_SCIRIA_01_LARGE_TOWN}			Sciri Large Town
{EMT_SCIRIA_01_CITY}				Sciri City
{EMT_SCIRIA_01_LARGE_CITY}			Sciri Large City
{EMT_SCIRIA_01_HUGE_CITY}			Sciri Huge City
{EMT_SCIRIA_01_CAPITAL}				Sciri Capital
{EMT_SCIRIA_01_FORT}				Sciri Fort
{EMT_SCIRIA_01_PORT}				Sciri Port
{EMT_SCIRIA_01_DOCK}				Sciri Docks
{EMT_SCIRIA_01_FISHING_VILLAGE}			Sciri Fishing Village
{EMT_SCIRIA_01_FACTION_LEADER}			Sciri Faction Leader
{EMT_SCIRIA_01_FACTION_HEIR}			Sciri Faction Heir

{EMT_YOUR_FORCES_ATTACK_ARMY_SCIRIA_01}		Your forces attack an army of Sciri
